variant,timestamp,true_flows,visible_flows,hidden_flows,spurious_flows,coverage,true_packets,est_packets,packet_acc,AAE,ARE,pct_exact,alg4_pct,alg5_pct,exact_pct,alg6_pct,min_pct,AAE_1pkt,ARE_1pkt,AAE_2pkt,ARE_2pkt,AAE_3pkt,ARE_3pkt,AAE_4_10,ARE_4_10,AAE_11_100,ARE_11_100,AAE_101plus,ARE_101plus
"lazy_bf131k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:11,470038,285682,184356,2065,0.6077849024972449,4939940,4074050,0.8247164945323222,0.6503559902268956,0.25749028619988706,0.6965717126035242,0.04359742650919554,0.41715263824812204,0.5392499352426824,0.0,0.0,0.30715439046397874,0.30715439046397874,0.5146650812524772,0.2573325406262386,0.723836019965633,0.24127867332188171,1.1237024576375498,0.18756515797145232,1.8122324740797109,0.08887206376940554,3.37805124066976,0.01351585075696601
"lazy_bf262k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:13,470038,415132,54906,2649,0.8831881677651594,4939940,4510401,0.9130477293246476,0.24653363267587178,0.0691364770248147,0.8561252806336298,0.25607276721621075,0.38389476118439436,0.3600324715993949,0.0,0.0,0.05100153843763112,0.05100153843763112,0.24468645284825274,0.12234322642412637,0.4351764705882353,0.1450588235294122,0.5903781692532597,0.10045809452086743,0.8847413228552717,0.044544594034196174,1.641419893697798,0.006797312962006706
"lazy_bf524k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:16,470038,460343,9695,2788,0.9793740080589229,4939940,4660323,0.9433966809313473,0.13184733991827832,0.02629391972508356,0.897246183823801,0.5150637676688904,0.20339833558889783,0.2815378967422118,0.0,0.0,0.00292843486047581,0.00292843486047581,0.17531211535080007,0.08765605767540004,0.3292058070025619,0.10973526900084783,0.3473905599072439,0.06166536019716787,0.4559388374730219,0.022466746208166067,1.3921385991058122,0.004683994971137617
"lazy_bf1m_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:18,470038,467970,2068,2807,0.9956003557159209,4939940,4698599,0.951144953177569,0.13522661709083916,0.026792536698773496,0.8832489262132188,0.6471525952518323,0.09955552706370066,0.2532918776844669,0.0,0.0,0.00016291398820231202,0.00016291398820231202,0.18313341864954558,0.09156670932477279,0.3771043771043771,0.1257014590347914,0.38944025934340415,0.06982140932776464,0.44171111352998804,0.021858560816376795,1.137113211043172,0.003998194377677376
"lazy_bf2m_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:21,470038,469021,1017,2804,0.9978363451465626,4939940,4728781,0.9572547439847447,0.14616829523624741,0.02916776836420498,0.8701230861731137,0.6964848055843982,0.06124246035891783,0.24227273405668404,0.0,0.0,1.0157405933956546e-05,1.0157405933956546e-05,0.187705698943357,0.0938528494716785,0.4120827209741759,0.1373609069913943,0.4484134876751926,0.0802468802558295,0.46795405963552045,0.023682673363114064,0.978397341211226,0.0037207256638497072
"traditional_bf131k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:22,470038,225550,244488,1678,0.4798548202485756,4939940,3439495,0.6962625052126139,0.8247927288849479,0.36956185722094653,0.6381378851695855,0.0,0.35362447350919973,0.6463755264908002,0.0,0.0,0.47569697854327836,0.47569697854327836,0.685166953810813,0.3425834769054065,0.8762626262626263,0.2920875420875414,1.2721373460732717,0.2148027977903845,1.96320902188477,0.0966397230205819,3.401827611755989,0.012765719848146822
"traditional_bf262k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:24,470038,356788,113250,2361,0.7590620332824155,4939940,4023113,0.8144052356911218,0.5312426426897766,0.20313270448680826,0.7748130542507035,0.0,0.46524266511205536,0.5347573348879446,0.0,0.0,0.2236468150647255,0.2236468150647255,0.46826631725493406,0.23413315862746703,0.6401566297596544,0.2133855432532176,1.01285868976719,0.16875674758940123,1.6407618399795936,0.0816003965326426,3.4300109529025193,0.01205725410965841
"traditional_bf524k_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:27,470038,435096,34942,2680,0.9256613295095291,4939940,4224052,0.8550816406677004,0.35753029216540716,0.1040311918015673,0.8774868075091474,0.0,0.5330869509257727,0.4669130490742273,0.0,0.0,0.09979952869085272,0.09979952869085272,0.2839224891834668,0.1419612445917334,0.3833248601931876,0.12777495339772948,0.6666666666666666,0.1110351437699689,1.3804535512835272,0.06523122703842131,5.715528490648108,0.017923971345651588
"traditional_bf1m_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:30,470038,461099,8939,2767,0.9809823886579383,4939940,4344268,0.8794171589128613,0.23615535926124326,0.05594008867546199,0.9391475583334599,0.0,0.5536208059440597,0.4463791940559403,0.0,0.0,0.05097159118247493,0.05097159118247493,0.1479870857218159,0.07399354286090795,0.21064159410224906,0.07021386470074986,0.40147500977497336,0.06582253056993208,1.1000778094779355,0.0486870383252825,5.060740740740741,0.017688860874299026
"traditional_bf2m_cms256x1024,pcap=130000,chunk=00000",2026-05-26T08:43:32,470038,466560,3478,2768,0.9926005982495032,4939940,4396567,0.890004129604813,0.1956511488340192,0.04002452528383687,0.9632758916323731,0.0,0.5574224108367627,0.4425775891632373,0.0,0.0,0.036248825128175545,0.036248825128175545,0.09466684052679619,0.047333420263398096,0.14328704925822291,0.04776234975274057,0.3040346782260754,0.049325028977913625,0.9908034137728076,0.04162547122934752,5.028734417916755,0.0165825041713146
