variant,timestamp,true_flows,visible_flows,hidden_flows,spurious_flows,coverage,true_packets,est_packets,packet_acc,AAE,ARE,pct_exact,alg4_pct,alg5_pct,exact_pct,alg6_pct,min_pct,AAE_1pkt,ARE_1pkt,AAE_2pkt,ARE_2pkt,AAE_3pkt,ARE_3pkt,AAE_4_10,ARE_4_10,AAE_11_100,ARE_11_100,AAE_101plus,ARE_101plus
"lazy_bf131k_cms256x1024,trace=130100",2026-06-01T05:36:28,477897,285357,192540,2233,0.5971098374754392,4941975,4021239,0.8136906803454085,0.6983462820256731,0.27480342364865123,0.6805895772663716,0.038467603738474965,0.40421296831688025,0.5573194279446447,0.0,0.0,0.3307990531172251,0.3307990531172251,0.5573150924537731,0.27865754622688654,0.7702257572105728,0.25674191907019767,1.160405399826611,0.193633887247399,1.9855286883351055,0.09551747902886035,3.428489373923033,0.014202381762073672
"lazy_bf262k_cms256x1024,trace=130100",2026-06-01T05:36:32,477897,418758,59139,2720,0.876251577222707,4941975,4536193,0.9178907218268,0.273917155015546,0.07789844090234664,0.846137864828851,0.2465767818167056,0.3833335721347413,0.3700896460485531,0.0,0.0,0.05983531564501372,0.05983531564501372,0.264959202175884,0.132479601087942,0.45166999714530404,0.15055666571510354,0.6436054381731505,0.1087962709950096,0.9889571011454668,0.05014616869444722,1.712701252236136,0.006397281391246295
"lazy_bf524k_cms256x1024,trace=130100",2026-06-01T05:36:36,477897,467351,10546,2841,0.977932483359385,4941975,4704398,0.9519267094633218,0.13628086812695384,0.027068008810898145,0.8943556342021307,0.5060307991210032,0.20933302806669934,0.2846361728122974,0.0,0.0,0.003129358258276826,0.003129358258276826,0.17730334749714996,0.08865167374857498,0.3288943945493961,0.10963146484979384,0.355236002037042,0.06247637703485893,0.4593372429873525,0.022972464677135877,1.4655778011942395,0.004590814724607264
"lazy_bf1m_cms256x1024,trace=130100",2026-06-01T05:36:41,477897,475945,1952,2869,0.9959154378453935,4941975,4797847,0.9708359512138366,0.13500509512653772,0.027090378662460765,0.8810471798211978,0.6417506224458709,0.10328504343989327,0.2549643341142359,0.0,0.0,0.00015478469785017515,0.00015478469785017515,0.185865478914678,0.092932739457339,0.36442571341525337,0.12147523780508333,0.3905476903590136,0.06932593768200686,0.44848590932959914,0.022096028593465874,0.9583622484385843,0.0036852428070124057
"lazy_bf2m_cms256x1024,trace=130100",2026-06-01T05:36:45,477897,476831,1066,2870,0.9977693938233553,4941975,4768265,0.9648500852392009,0.14833976817782402,0.02964434655858225,0.8675232944166801,0.6939649477487831,0.06309992429183506,0.24293512795938182,0.0,0.0,3.3577779568592687e-06,3.3577779568592687e-06,0.19220334142510354,0.09610167071255177,0.4015604417874151,0.13385348059580826,0.4497754481160031,0.07983067723878105,0.47990626420901683,0.024433837730188906,0.9609483960948396,0.003712006147918858
"traditional_bf131k_cms256x1024,trace=130100",2026-06-01T05:36:47,477897,225480,252417,1843,0.47181714888354603,4941975,3384767,0.6849016840433227,0.8639435870143694,0.3881061268550864,0.6227425935781444,0.0,0.33732925314883805,0.662670746851162,0.0,0.0,0.5020849142955494,0.5020849142955494,0.7513287038833069,0.37566435194165343,0.9180327868852459,0.30601092896174903,1.315770673334524,0.22058610846851287,2.102168021680217,0.10137736488790129,2.795541706615532,0.012661973130319814
"traditional_bf262k_cms256x1024,trace=130100",2026-06-01T05:36:51,477897,359832,118065,2453,0.7529488571805222,4941975,3973285,0.8039872722949832,0.5893694835367616,0.22170680743907395,0.7616943462504725,0.0,0.4505352497832322,0.5494647502167678,0.0,0.0,0.2465100458279132,0.2465100458279132,0.5052402763760577,0.25262013818802886,0.6921464596842863,0.2307154865614271,1.073106698081454,0.17817276663835294,1.8142431515352149,0.09081134435921735,4.337654191929751,0.017206326500025706
"traditional_bf524k_cms256x1024,trace=130100",2026-06-01T05:36:55,477897,442060,35837,2740,0.9250110379433225,4941975,4275797,0.8652000465400979,0.4136044880785414,0.11858825872318544,0.8657263719857033,0.0,0.5203592272542189,0.47768854906573766,0.001952223680043433,0.0,0.11618118141829963,0.11618118141829963,0.30639767199444057,0.15319883599722028,0.4404826611588216,0.1468275537196062,0.7406698564593301,0.12174994639003993,1.5764029625262537,0.07460226780594974,6.64493620414673,0.02215115258714496
"traditional_bf1m_cms256x1024,trace=130100",2026-06-01T05:36:59,477897,468653,9244,2833,0.9806569197965251,4941975,4387591,0.8878213669636127,0.3193450164620732,0.0690892983863194,0.926805120206208,0.0,0.5425720095678466,0.45559934535786606,0.0018286450742873725,0.0,0.06271300348993106,0.06271300348993106,0.1801229380963222,0.0900614690481611,0.2630737493553378,0.08769124978511346,0.4996854798774041,0.08135307279043,1.3939112744923088,0.06125724535652539,8.085809879944893,0.029374006294649816
"traditional_bf2m_cms256x1024,trace=130100",2026-06-01T05:37:03,477897,474135,3762,2846,0.9921280108475258,4941975,4357359,0.8817039746255293,0.29313592120387655,0.053943367297680185,0.9499804907884886,0.0,0.5473483290623978,0.45083573243907327,0.0018159384985289,0.0,0.04712561670850974,0.04712561670850974,0.13421511329847227,0.06710755664923614,0.20894304797838167,0.06964768265946104,0.42310240644545744,0.06815790647153978,1.3596008380979439,0.058353773453775855,8.839342948717949,0.02970478626448659
